流水号,会员ID,帐变类型,帐变币种,帐变金额,帐变前余额,帐变后余额,关联单号,帐变时间,操作人员,备注
2069269334680649728,2065376588613611520,遊戲返水,USDT,0.008,167.3144,167.3224,2069269334417702912,2026-06-23 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269334923919360,2065376588613611520,遊戲返水,USDT,0.008,167.3224,167.3304,2069269334665166848,2026-06-23 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269335118938112,2065376588613611520,遊戲返水,USDT,0.008,167.3304,167.3384,2069269334837133312,2026-06-23 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269335232184320,2065376588613611520,遊戲返水,USDT,0.008,167.3384,167.3464,2069269335000711168,2026-06-23 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269335402070016,2065376588613611520,遊戲返水,USDT,0.008,167.3464,167.3544,2069269335160094720,2026-06-23 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269335550951424,2065376588613611520,遊戲返水,USDT,0.008,167.3544,167.3624,2069269335327866880,2026-06-23 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269335754391552,2065376588613611520,遊戲返水,USDT,0.008,167.3624,167.3704,2069269335504027648,2026-06-23 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269335890690048,2065376588613611520,遊戲返水,USDT,0.008,167.3704,167.3784,2069269335659216896,2026-06-23 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269336058462208,2065376588613611520,遊戲返水,USDT,0.008,167.3784,167.3864,2069269335831183360,2026-06-23 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269336234622976,2065376588613611520,遊戲返水,USDT,0.008,167.3864,167.3944,2069269335998955520,2026-06-23 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269582199111680,2065376588613611520,遊戲返水,USDT,0.008,167.3944,167.4024,2069269581856473088,2026-06-23 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269582406713344,2065376588613611520,遊戲返水,USDT,0.008,167.4024,167.4104,2069269582103937024,2026-06-23 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269582528348160,2065376588613611520,遊戲返水,USDT,0.008,167.4104,167.4184,2069269582301069312,2026-06-23 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269582687731712,2065376588613611520,遊戲返水,USDT,0.008,167.4184,167.4264,2069269582460452864,2026-06-23 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269582863892480,2065376588613611520,遊戲返水,USDT,0.008,167.4264,167.4344,2069269582628225024,2026-06-23 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269583042166784,2065376588613611520,遊戲返水,USDT,0.016,167.4344,167.4504,2069269582804385792,2026-06-23 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269583214133248,2065376588613611520,遊戲返水,USDT,0.008,167.4504,167.4584,2069269582972157952,2026-06-23 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269583377711104,2065376588613611520,遊戲返水,USDT,0.008,167.4584,167.4664,2069269583131541504,2026-06-23 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269583537094656,2065376588613611520,遊戲返水,USDT,0.008,167.4664,167.4744,2069269583295119360,2026-06-23 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269583690170368,2065376588613611520,遊戲返水,USDT,0.008,167.4744,167.4824,2069269583462891520,2026-06-23 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269838018101248,2065376588613611520,遊戲返水,USDT,0.008,167.4824,167.4904,2069269837667074048,2026-06-23 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269838156513280,2065376588613611520,遊戲返水,USDT,0.008,167.4904,167.4984,2069269837906149376,2026-06-23 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269838311702528,2065376588613611520,遊戲返水,USDT,0.016,167.4984,167.5144,2069269838069727232,2026-06-23 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269838471086080,2065376588613611520,遊戲返水,USDT,0.008,167.5144,167.5224,2069269838233305088,2026-06-23 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269838643052544,2065376588613611520,遊戲返水,USDT,0.008,167.5224,167.5304,2069269838401077248,2026-06-23 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269838850654208,2065376588613611520,遊戲返水,USDT,0.008,167.5304,167.5384,2069269838556266496,2026-06-23 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269838942928896,2065376588613611520,遊戲返水,USDT,0.016,167.5384,167.5544,2069269838719844352,2026-06-23 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269839114895360,2065376588613611520,遊戲返水,USDT,0.008,167.5544,167.5624,2069269838879227904,2026-06-23 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269839284781056,2065376588613611520,遊戲返水,USDT,0.016,167.5624,167.5784,2069269839042805760,2026-06-23 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069269839433662464,2065376588613611520,遊戲返水,USDT,0.008,167.5784,167.5864,2069269839206383616,2026-06-23 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2069270085509283840,2065376588613611520,遊戲返水,USDT,0.008,167.5864,167.5944,2069270085206507520,2026-06-23 00:03:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
