流水号,会员ID,帐变类型,帐变币种,帐变金额,帐变前余额,帐变后余额,关联单号,帐变时间,操作人员,备注
2064974019574689792,2064738750482149376,投注-扣款,USDT,-5,18.66,13.66,BET20260611073226076594004401492af72d89bf,2026-06-11 03:32:26,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021437875908608,2064375069823860736,投注-扣款,USDT,-1,411.796,410.796,0c21c1c7-a75d-4018-99a5-9d974b151d2f,2026-06-11 06:40:51,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021442045046784,2064375069823860736,投注-扣款,USDT,-1,410.796,409.796,e9097044-bcb1-41b4-80c9-11fcb4441ab2,2026-06-11 06:40:52,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021446398734336,2064375069823860736,投注-扣款,USDT,-1,409.796,408.796,7b081e68-1a7d-4b2f-8d7a-1feb503b9bb6,2026-06-11 06:40:53,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021450874056704,2064375069823860736,投注-扣款,USDT,-1,408.796,407.796,86962204-02eb-4715-90d0-1bbe7ed5720a,2026-06-11 06:40:54,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021454405660672,2064375069823860736,投注-扣款,USDT,-1,407.796,406.796,089766b5-b80c-48af-ae82-628a60f47119,2026-06-11 06:40:55,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021457903710208,2064375069823860736,投注-扣款,USDT,-1,406.796,405.796,c7f64307-2435-4a51-9829-ee5a2665612e,2026-06-11 06:40:56,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021461502423040,2064375069823860736,投注-扣款,USDT,-1,405.796,404.796,7cd10b8e-d1c1-41fe-b933-5d54da5c78b5,2026-06-11 06:40:57,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021465482817536,2064375069823860736,投注-扣款,USDT,-1,404.796,403.796,6d9e5fca-cfdf-4922-8d96-1ca4b0e7a79a,2026-06-11 06:40:58,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021468993449984,2064375069823860736,投注-扣款,USDT,-1,403.796,402.796,0e97bb36-b038-4d81-8cef-3eb2c8b3000d,2026-06-11 06:40:59,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021473011593216,2064375069823860736,投注-扣款,USDT,-1,402.796,401.796,d57f3dbe-176d-4ea1-ab39-b4a1e753b749,2026-06-11 06:41:00,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021473032564736,2064375069823860736,投注-贏,USDT,6.4,401.796,408.196,d57f3dbe-176d-4ea1-ab39-b4a1e753b749,2026-06-11 06:41:00,,change_type=會員遊戲；biz_type=0302；方向=收入；狀態=入賬成功
2065021485284126720,2064375069823860736,投注-扣款,USDT,-1,408.196,407.196,e166e5d7-34db-42f1-aca7-938c9554a83f,2026-06-11 06:41:02,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021489029640192,2064375069823860736,投注-扣款,USDT,-1,407.196,406.196,3306dc1e-b28f-466f-b21e-54784d7f34a3,2026-06-11 06:41:03,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021489046417408,2064375069823860736,投注-贏,USDT,5.6,406.196,411.796,3306dc1e-b28f-466f-b21e-54784d7f34a3,2026-06-11 06:41:03,,change_type=會員遊戲；biz_type=0302；方向=收入；狀態=入賬成功
2065021500492673024,2064375069823860736,投注-扣款,USDT,-1,411.796,410.796,3a9317f6-c987-41cf-9452-0476e7178298,2026-06-11 06:41:06,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021500509450240,2064375069823860736,投注-贏,USDT,1.8,410.796,412.596,3a9317f6-c987-41cf-9452-0476e7178298,2026-06-11 06:41:06,,change_type=會員遊戲；biz_type=0302；方向=收入；狀態=入賬成功
2065021507144839168,2064375069823860736,投注-扣款,USDT,-1,412.596,411.596,6dabb873-73e8-4b71-bf25-de027059325b,2026-06-11 06:41:08,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021510571585536,2064375069823860736,投注-扣款,USDT,-1,411.596,410.596,19c27746-c5d1-444d-9286-eac1782614bb,2026-06-11 06:41:09,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021510588362752,2064375069823860736,投注-贏,USDT,0.6,410.596,411.196,19c27746-c5d1-444d-9286-eac1782614bb,2026-06-11 06:41:09,,change_type=會員遊戲；biz_type=0302；方向=收入；狀態=入賬成功
2065021517001453568,2064375069823860736,投注-扣款,USDT,-1,411.196,410.196,4a605c3b-63ae-40c7-8f24-2c9526796155,2026-06-11 06:41:10,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021521132843008,2064375069823860736,投注-扣款,USDT,-1,410.196,409.196,ca1eb746-b7b5-4e46-b832-f5e51677634b,2026-06-11 06:41:11,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021524974825472,2064375069823860736,投注-扣款,USDT,-1,409.196,408.196,8eaf0b94-f5da-4954-bf24-346c20dae338,2026-06-11 06:41:12,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021529232044032,2064375069823860736,投注-扣款,USDT,-1,408.196,407.196,8f3535b6-6b28-4461-bc37-c4059d2a6b3b,2026-06-11 06:41:13,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021529248821248,2064375069823860736,投注-贏,USDT,0.9,407.196,408.096,8f3535b6-6b28-4461-bc37-c4059d2a6b3b,2026-06-11 06:41:13,,change_type=會員遊戲；biz_type=0302；方向=收入；狀態=入賬成功
2065021534965657600,2064375069823860736,投注-扣款,USDT,-1,408.096,407.096,47000a35-b2de-4273-bd0d-e4957e638bc3,2026-06-11 06:41:14,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021534982434816,2064375069823860736,投注-贏,USDT,1.3,407.096,408.396,47000a35-b2de-4273-bd0d-e4957e638bc3,2026-06-11 06:41:14,,change_type=會員遊戲；biz_type=0302；方向=收入；狀態=入賬成功
2065021540506333184,2064375069823860736,投注-扣款,USDT,-1,408.396,407.396,785046e5-e771-4cbe-bd82-a35cdc80526d,2026-06-11 06:41:16,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2065021540523110400,2064375069823860736,投注-贏,USDT,8,407.396,415.396,785046e5-e771-4cbe-bd82-a35cdc80526d,2026-06-11 06:41:16,,change_type=會員遊戲；biz_type=0302；方向=收入；狀態=入賬成功
