本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码
2065210620615892992,178121955401735923260000101,2065130975837876224,aq1122,2026-06-11 19:12:33,505,USDT,0,2026-06-12 00:00:00,-505,足球,体育,505
2065198045022953472,178121655501735923260060054,2065133146042068992,aq1122,2026-06-11 18:22:34,200,USDT,366.6,2026-06-12 00:00:00,166.6,足球,体育,166.6
2065188635231952896,178121431201735923260080146,2065062780082909184,aq1122,2026-06-11 17:45:11,100,USDT,269,2026-06-12 00:01:00,169,足球,体育,100
2065311014615064576,2065309508531420162,2064375069823860736,a1760356615,2026-06-12 01:45:33,2,USDT,0,2026-06-12 01:45:33,-2,Mahjong Ways 2,PG,2
2065311014334046208,2065309512528660992,2064375069823860736,a1760356615,2026-06-12 01:45:33,2,USDT,0,2026-06-12 01:45:34,-2,Mahjong Ways 2,PG,2
2065311014430515200,2065309516534237696,2064375069823860736,a1760356615,2026-06-12 01:45:34,2,USDT,5.3,2026-06-12 01:45:41,3.3,Mahjong Ways 2,PG,2
2065311014522789888,2065309552210961920,2064375069823860736,a1760356615,2026-06-12 01:45:43,2,USDT,71.9,2026-06-12 01:45:52,69.9,Mahjong Ways 2,PG,2
2065311268525645824,2065309633722998272,2064375069823860736,a1760356615,2026-06-12 01:46:02,2,USDT,0,2026-06-12 01:46:03,-2,Mahjong Ways 2,PG,2
2065311266214584320,2065309638181633536,2064375069823860736,a1760356615,2026-06-12 01:46:03,2,USDT,1.2,2026-06-12 01:46:06,-0.8,Mahjong Ways 2,PG,2
2065311266311053312,2065309655751564289,2064375069823860736,a1760356615,2026-06-12 01:46:08,2,USDT,0,2026-06-12 01:46:08,-2,Mahjong Ways 2,PG,2
2065311266797592576,2065309659186697216,2064375069823860736,a1760356615,2026-06-12 01:46:08,2,USDT,0,2026-06-12 01:46:09,-2,Mahjong Ways 2,PG,2
2065311266407522304,2065309662722415616,2064375069823860736,a1760356615,2026-06-12 01:46:09,2,USDT,0,2026-06-12 01:46:09,-2,Mahjong Ways 2,PG,2
2065311266508185600,2065309666400803328,2064375069823860736,a1760356615,2026-06-12 01:46:10,2,USDT,0,2026-06-12 01:46:10,-2,Mahjong Ways 2,PG,2
2065311267779059712,2065309670221826560,2064375069823860736,a1760356615,2026-06-12 01:46:11,2,USDT,0,2026-06-12 01:46:11,-2,Mahjong Ways 2,PG,2
2065311267871334400,2065309674294545920,2064375069823860736,a1760356615,2026-06-12 01:46:12,2,USDT,0,2026-06-12 01:46:12,-2,Mahjong Ways 2,PG,2
2065311266906644480,2065309678077790208,2064375069823860736,a1760356615,2026-06-12 01:46:13,2,USDT,0,2026-06-12 01:46:13,-2,Mahjong Ways 2,PG,2
2065311268622114816,2065309681848508416,2064375069823860736,a1760356615,2026-06-12 01:46:14,2,USDT,0,2026-06-12 01:46:14,-2,Mahjong Ways 2,PG,2
2065311266604654592,2065309685690421248,2064375069823860736,a1760356615,2026-06-12 01:46:15,2,USDT,0,2026-06-12 01:46:15,-2,Mahjong Ways 2,PG,2
2065311267003113472,2065309689641539072,2064375069823860736,a1760356615,2026-06-12 01:46:16,2,USDT,2,2026-06-12 01:46:18,0,Mahjong Ways 2,PG,2
2065311267967803392,2065309706737489920,2064375069823860736,a1760356615,2026-06-12 01:46:20,2,USDT,2,2026-06-12 01:46:22,0,Mahjong Ways 2,PG,2
2065311268714389504,2065309723556659200,2064375069823860736,a1760356615,2026-06-12 01:46:24,2,USDT,0.5,2026-06-12 01:46:26,-1.5,Mahjong Ways 2,PG,2
2065311268064272384,2065309740853899264,2064375069823860736,a1760356615,2026-06-12 01:46:28,2,USDT,0,2026-06-12 01:46:28,-2,Mahjong Ways 2,PG,2
2065311268806664192,2065309745085946368,2064375069823860736,a1760356615,2026-06-12 01:46:29,2,USDT,2.8,2026-06-12 01:46:35,0.8,Mahjong Ways 2,PG,2
2065311266701123584,2065309779638696961,2064375069823860736,a1760356615,2026-06-12 01:46:37,2,USDT,1.7,2026-06-12 01:46:41,-0.3,Mahjong Ways 2,PG,2
2065311268156547072,2065309805572014081,2064375069823860736,a1760356615,2026-06-12 01:46:43,2,USDT,0,2026-06-12 01:46:44,-2,Mahjong Ways 2,PG,2
2065311267099582464,2065309809426604032,2064375069823860736,a1760356615,2026-06-12 01:46:44,2,USDT,0,2026-06-12 01:46:44,-2,Mahjong Ways 2,PG,2
2065311267200245760,2065309812861792769,2064375069823860736,a1760356615,2026-06-12 01:46:45,2,USDT,0,2026-06-12 01:46:45,-2,Mahjong Ways 2,PG,2
2065311268253016064,2065309817194495489,2064375069823860736,a1760356615,2026-06-12 01:46:46,2,USDT,0,2026-06-12 01:46:46,-2,Mahjong Ways 2,PG,2
2065311267296714752,2065309820638027776,2064375069823860736,a1760356615,2026-06-12 01:46:47,2,USDT,0,2026-06-12 01:46:47,-2,Mahjong Ways 2,PG,2
2065311268345290752,2065309824186408960,2064375069823860736,a1760356615,2026-06-12 01:46:48,2,USDT,0,2026-06-12 01:46:48,-2,Mahjong Ways 2,PG,2
2065311267523207168,2065309827759961600,2064375069823860736,a1760356615,2026-06-12 01:46:49,2,USDT,1,2026-06-12 01:46:51,-1,Mahjong Ways 2,PG,2
2065311267682590720,2065309844642010624,2064375069823860736,a1760356615,2026-06-12 01:46:53,2,USDT,0,2026-06-12 01:46:53,-2,Mahjong Ways 2,PG,2
