订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2066790540844318721,2065063441742753792,aq1122,充值,50,USDT,已完成,bgw,bgw,2026-06-16 03:50:38,2026-06-16 03:51:15,,在線充值
OTX2066801090315849729,2066799512592605184,ty1114,充值,200,USDT,已完成,bgw,bgw,2026-06-16 04:32:33,2026-06-16 04:33:15,,在線充值
OTX2066801151556882433,2066800060553256960,ty1114,充值,100,USDT,已完成,bgw,bgw,2026-06-16 04:32:48,2026-06-16 04:33:15,,在線充值
OTX2066803465915109377,2066800060553256960,ty1114,提現,135,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-16 04:42:00,2026-06-16 04:57:35,,會員提現
OTX2066806566084579329,2066799512592605184,ty1114,提現,132,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-16 04:54:19,2026-06-16 05:05:03,,會員提現
OTX2066948493891244033,2065295922400129024,hj1111,充值,3,USDT,已完成,bgw,bgw,2026-06-16 14:18:17,2026-06-16 14:19:15,,在線充值
OTX2067006212610310145,2066899863253573632,a1760356615,充值,200,USDT,已完成,bgw,bgw,2026-06-16 18:07:38,2026-06-16 18:08:15,,在線充值
OTX2067057324547149825,2065376588613611520,a1760356615,提現,518,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-16 21:30:44,2026-06-16 21:50:55,,會員提現
OTX2067068149893271553,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-16 22:13:45,2026-06-16 22:14:15,,在線充值
