订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2066130947537387521,2065397098395267072,pd1122,充值,100,USDT,已完成,bgw,bgw,2026-06-14 08:09:39,2026-06-14 08:10:15,,在線充值
OTX2066162196503236609,2065489387315187712,aq1122,充值,500,USDT,已完成,bgw,bgw,2026-06-14 10:13:49,2026-06-14 10:14:15,,在線充值
OTX2066178178412089345,2065183159992512512,a1760356615,充值,1000,USDT,已完成,bgw,bgw,2026-06-14 11:17:20,2026-06-14 11:18:15,,在線充值
OTX2066184028254015489,2065134688732246016,a1760356615,充值,20,USDT,已完成,bgw,bgw,2026-06-14 11:40:34,2026-06-14 11:41:15,,在線充值
OTX2066186806854586369,2065133146042068992,aq1122,提現,281,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-14 11:51:37,2026-06-14 12:00:34,,會員提現
OTX2066190762573991937,2065134688732246016,a1760356615,提現,37,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-14 12:07:20,2026-06-14 12:13:29,,會員提現
OTX2066271001006215169,2065117050807316480,qx1122,充值,3000,USDT,已完成,bgw,bgw,2026-06-14 17:26:10,2026-06-14 17:26:15,,在線充值
OTX2066283564221710337,2064375069823860736,a1760356615,充值,10,USDT,已完成,bgw,bgw,2026-06-14 18:16:06,2026-06-14 18:16:15,,在線充值
OTX2066284911801307137,2064375069823860736,a1760356615,提現,20,USDT,已失敗,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-14 18:21:27,2026-06-14 18:33:20,,會員提現
OTX2066291149087817729,2064375069823860736,a1760356615,提現,20,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-14 18:46:14,2026-06-14 18:48:15,,會員提現
