订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2069894982415532033,2065117050807316480,qx1122,充值,3000,USDT,已完成,bgw,bgw,2026-06-24 17:26:35,2026-06-24 17:27:15,,在線充值
OTX2069900645233442817,2065117050807316480,qx1122,充值,2000,USDT,已完成,bgw,bgw,2026-06-24 17:49:05,2026-06-24 17:49:15,,在線充值
OTX2069939858414878721,2065376588613611520,a1760356615,提現,320,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-24 20:24:54,2026-06-24 22:04:52,,會員提現
OTX2069969627684651009,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-24 22:23:12,2026-06-24 22:23:15,,在線充值
