流水号,会员ID,帐变类型,帐变币种,帐变金额,帐变前余额,帐变后余额,关联单号,帐变时间,操作人员,备注
2067098976225525760,2065062780082909184,在線充值,USDT,13,0.01442,13.01442,OTX2067098853465231361,2026-06-17 00:16:15,,change_type=會員充值；biz_type=0100；方向=收入；狀態=入賬成功
2067099451092041728,2065062780082909184,投注-扣款,USDT,-0.54,13.01442,12.47442,2067099450148447232-2067099450148447232-106-0,2026-06-17 00:18:08,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099468204802048,2065062780082909184,投注-贏,USDT,1.32,12.47442,13.79442,2067099467261155842-2067099450148447232-106-0,2026-06-17 00:18:12,,change_type=會員遊戲；biz_type=0302；方向=收入；狀態=入賬成功
2067099500509331456,2065062780082909184,投注-扣款,USDT,-0.6,13.79442,13.19442,2067099499888725504-2067099499888725504-106-0,2026-06-17 00:18:20,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099516229582848,2065062780082909184,投注-扣款,USDT,-0.6,13.19442,12.59442,2067099515306982912-2067099515306982912-106-0,2026-06-17 00:18:24,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099531610095616,2065062780082909184,投注-扣款,USDT,-0.6,12.59442,11.99442,2067099530934936064-2067099530934936064-106-0,2026-06-17 00:18:27,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099548416671744,2065062780082909184,投注-扣款,USDT,-0.6,11.99442,11.39442,2067099547540224000-2067099547540224000-106-0,2026-06-17 00:18:31,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099562614390784,2065062780082909184,投注-扣款,USDT,-0.6,11.39442,10.79442,2067099562094431744-2067099562094431744-106-0,2026-06-17 00:18:35,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099577445449728,2065062780082909184,投注-扣款,USDT,-0.6,10.79442,10.19442,2067099576799698945-2067099576799698945-106-0,2026-06-17 00:18:38,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099634827722752,2065062780082909184,投注-扣款,USDT,-0.6,10.19442,9.59442,2067099634286796289-2067099634286796289-106-0,2026-06-17 00:18:52,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099649264517120,2065062780082909184,投注-扣款,USDT,-0.6,9.59442,8.99442,2067099648778106881-2067099648778106881-106-0,2026-06-17 00:18:55,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099663411904512,2065062780082909184,投注-扣款,USDT,-0.54,8.99442,8.45442,2067099662870906880-2067099662870906880-106-0,2026-06-17 00:18:59,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099698836996096,2065062780082909184,投注-扣款,USDT,-0.6,8.45442,7.85442,2067099697935313920-2067099697935313920-106-0,2026-06-17 00:19:07,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099721108750336,2065062780082909184,投注-扣款,USDT,-0.6,7.85442,7.25442,2067099720513279488-2067099720513279488-106-0,2026-06-17 00:19:13,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
2067099734790569984,2065062780082909184,投注-扣款,USDT,-0.6,7.25442,6.65442,2067099734190887424-2067099734190887424-106-0,2026-06-17 00:19:16,,change_type=會員遊戲；biz_type=0301；方向=支出；狀態=入賬成功
