代理帐号,代理注册日期时间,上级代理,该代理使用的币种,数据统计日期,直属会员总数,活跃会员数,新增会员数,首充会员数,充值金额,充值笔数,提现金额,提现笔数,充提差额,投注笔数,投注金额,有效打码,派彩金额,会员输赢,平台输赢,彩金费用,返水费用,净输赢,真人有效打码,电子有效打码,棋牌有效打码,体育有效打码,彩票有效打码,U獨家有效打码
a1760356615,2025-10-13 07:56:55,,USDT,2026-06-11,94,2,42,0,0,0,10,1,-10,201,205,205,203.5,-1.5,1.5,0,1.65,-0.15,0,200,0,0,5,0
aq1122,2026-06-11 06:58:16,,USDT,2026-06-11,23,4,23,6,3150,10,200,1,2950,1616,4195.36,4126.26,3709.7095,-485.6505,485.6505,31.5,21.29504,44.33506,410,1569.37,1105.99,1030.9,0,0
dl111111,2026-06-11 08:50:30,hj1111,USDT,2026-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hj1111,2026-06-11 06:33:34,,USDT,2026-06-11,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1122,2026-06-11 07:01:51,,USDT,2026-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qx1122,2026-06-11 11:48:04,,USDT,2026-06-11,1,1,1,1,5000,1,0,0,5000,3604,35480,35480,30201.9,-5278.1,5278.1,50,251.484,2865.376,0,32980,0,2500,0,0
test002,2026-06-11 09:13:00,,USDT,2026-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test01,2026-06-09 09:59:45,,USDT,2026-06-11,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test02,2026-06-11 09:06:49,test01,USDT,2026-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
