本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码
2068546179045445632,178201480301735923260069177,2065183159992512512,a1760356615,2026-06-21 00:06:42,100,USDT,197,2026-06-21 01:59:00,97,足球,体育,97
2068545780070666240,178201471801735923260039181,2065183159992512512,a1760356615,2026-06-21 00:05:17,200,USDT,394,2026-06-21 01:59:00,194,足球,体育,194
2068553099651239936,178201644001735923260019294,2065183159992512512,a1760356615,2026-06-21 00:33:59,100,USDT,217,2026-06-21 02:00:00,117,足球,体育,100
2068240402466029568,178194191001735923260025682,2065000874223661056,test01,2026-06-20 03:51:52,100,USDT,824.131222,2026-06-21 02:00:00,724.131222,足球,体育,100
2068473200844394496,178199741401735923260048467,2065495859273060352,aq1122,2026-06-20 19:16:52,129,USDT,190.92,2026-06-21 02:02:00,61.92,足球,体育,61.92
2068575900164608000,178202189701735923260099402,2065000455472738304,test01,2026-06-21 02:04:56,100,USDT,158.4,2026-06-21 02:32:00,58.4,篮球,体育,58.4
2068575894565212160,178202189701735923260009433,2065000455472738304,test01,2026-06-21 02:04:56,100,USDT,183.3,2026-06-21 02:32:00,83.3,篮球,体育,83.3
2068575894561017856,178202189701735923260009484,2065000455472738304,test01,2026-06-21 02:04:56,100,USDT,217,2026-06-21 02:32:00,117,篮球,体育,100
2068582733499518976,178202351201735923260009479,2065000455472738304,test01,2026-06-21 02:32:10,100,USDT,230,2026-06-21 02:57:00,130,足球,体育,100
2068582628717416448,178202348801735923260069407,2065000455472738304,test01,2026-06-21 02:31:45,100,USDT,0,2026-06-21 03:01:00,-100,足球,体育,100
2068340030283034624,178196559101735923260056263,2065001864284925952,test01,2026-06-20 10:27:45,100,USDT,0,2026-06-21 03:05:40,-100,足球,体育,100
2068590534909153280,178202537801735923260039573,2065000455472738304,test01,2026-06-21 03:03:10,100,USDT,0,2026-06-21 03:21:00,-100,足球,体育,100
2068590135326199808,178202529401735923260079560,2065000455472738304,test01,2026-06-21 03:01:35,100,USDT,0,2026-06-21 03:42:40,-100,足球,体育,100
2068596682911567872,178202683801735923260099515,2065000455472738304,test01,2026-06-21 03:27:36,100,USDT,164.1,2026-06-21 03:56:00,64.1,足球,体育,64.1
2068596679690342400,178202682601735923260079554,2065000455472738304,test01,2026-06-21 03:27:35,100,USDT,0,2026-06-21 03:59:00,-100,足球,体育,100
2068608596072837120,178202969401735923260079601,2065000455472738304,test01,2026-06-21 04:14:56,100,USDT,0,2026-06-21 04:30:00,-100,足球,体育,100
2068613938039074816,178203093501735923260039626,2065000455472738304,test01,2026-06-21 04:36:10,100,USDT,0,2026-06-21 05:05:00,-100,足球,体育,50
2068630817822584832,178203499201735923260019713,2065000455472738304,test01,2026-06-21 05:43:14,100,USDT,354.6,2026-06-21 07:26:00,254.6,足球,体育,100
2068590240326406144,178202531401735923260059561,2065000455472738304,test01,2026-06-21 03:01:54,100,USDT,0,2026-06-21 09:15:00,-100,篮球,体育,100
2068590243660877824,178202531501735923260009572,2065000455472738304,test01,2026-06-21 03:01:54,100,USDT,0,2026-06-21 09:15:00,-100,篮球,体育,100
2068669762832805888,609197646,2065416090673541120,test01,2026-06-21 08:17:18,50,USDT,0,2026-06-21 12:27:46,-50,皇冠体育,皇冠体育,50
2068670014440714240,609197985,2065416090673541120,test01,2026-06-21 08:18:08,50,USDT,0,2026-06-21 12:27:52,-50,皇冠体育,皇冠体育,50
2068670014541377536,609198015,2065416090673541120,test01,2026-06-21 08:18:14,50,USDT,0,2026-06-21 12:27:52,-50,皇冠体育,皇冠体育,50
2068670140303388672,609198242,2065416090673541120,test01,2026-06-21 08:18:47,50,USDT,0,2026-06-21 13:15:33,-50,皇冠体育,皇冠体育,50
2068733181346820096,609386857,2065416090673541120,test01,2026-06-21 12:29:25,50,USDT,0,2026-06-21 13:16:56,-50,皇冠体育,皇冠体育,50
2068733306358050816,609387014,2065416090673541120,test01,2026-06-21 12:29:30,50,USDT,0,2026-06-21 13:16:56,-50,皇冠体育,皇冠体育,50
2068754856780083200,1276736396103748736,2066800060553256960,ty1114,2026-06-21 13:54:38,20,USDT,0,2026-06-21 13:54:59,-20,db_live,db_live,20
2068754856876552192,1276736447739964928,2066800060553256960,ty1114,2026-06-21 13:54:50,20,USDT,40,2026-06-21 13:55:13,20,db_live,db_live,20
2068755209160339456,1276736846482665984,2066800060553256960,ty1114,2026-06-21 13:56:25,20,USDT,40,2026-06-21 13:56:37,20,db_live,db_live,20
2068755360121729024,1276736939073261184,2066800060553256960,ty1114,2026-06-21 13:56:47,25,USDT,0,2026-06-21 13:57:05,-25,db_live,db_live,25
