订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2068317383075311617,2064759624312614912,test01,充值,500,USDT,已完成,bgw,bgw,2026-06-20 08:57:46,2026-06-20 08:58:15,,在線充值
OTX2068396891728633857,2065495859273060352,aq1122,充值,500,USDT,已完成,bgw,bgw,2026-06-20 14:13:42,2026-06-20 14:14:15,,在線充值
OTX2068434767009796097,2065489387315187712,aq1122,充值,100,USDT,已完成,bgw,bgw,2026-06-20 16:44:12,2026-06-20 16:44:15,,在線充值
