订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2064724266022715393,2064395727521841152,a1760356615,充值,300,USDT,已完成,bgw,bgw,2026-06-10 11:00:00,2026-06-10 11:00:16,,在線充值
OTX2064725332520976385,2064395727521841152,a1760356615,充值,200,USDT,已完成,bgw,bgw,2026-06-10 11:04:14,2026-06-10 11:04:16,,在線充值
OTX2064728166452805633,2064375069823860736,a1760356615,充值,10,USDT,已完成,bgw,bgw,2026-06-10 11:15:30,2026-06-10 11:16:15,,在線充值
OTX2064740245599535105,2064738750482149376,a1760356615,充值,50,USDT,已完成,bgw,bgw,2026-06-10 12:03:30,2026-06-10 12:05:15,,在線充值
OTX2064741956447748097,2064375069823860736,a1760356615,提現,10,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-10 12:10:18,2026-06-10 12:11:25,,會員提現
OTX2064753144103550977,2064752541458558976,,充值,200,USDT,已完成,bgw,bgw,2026-06-10 12:54:45,2026-06-10 12:55:15,,在線充值
OTX2064761888757628929,2064759624312614912,test01,充值,500,USDT,已完成,bgw,bgw,2026-06-10 13:29:30,2026-06-10 13:30:16,,在線充值
OTX2064776028352004097,2064759624312614912,test01,提現,10,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-10 14:25:41,2026-06-10 14:26:50,,會員提現
