订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2067484823486304257,2065376588613611520,a1760356615,提現,96,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-18 01:49:28,2026-06-18 02:07:48,,會員提現
OTX2067496171054141441,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-18 02:34:34,2026-06-18 02:35:15,,在線充值
OTX2067510855706710017,2065449725409685504,aq1122,提現,990,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-18 03:32:55,2026-06-18 03:47:33,,會員提現
OTX2067524210875469825,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-18 04:25:59,2026-06-18 04:26:15,,在線充值
OTX2067577229419778049,2067575891162324992,ty1112,充值,499,USDT,已完成,bgw,bgw,2026-06-18 07:56:39,2026-06-18 07:57:15,,在線充值
OTX2067580842124808193,2067575891162324992,ty1112,提現,1400,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-18 08:11:01,2026-06-18 08:50:30,,會員提現
OTX2067637657235656705,2065449725409685504,aq1122,充值,500,USDT,已完成,bgw,bgw,2026-06-18 11:56:46,2026-06-18 11:57:15,,在線充值
OTX2067642353916612609,2065117050807316480,qx1122,充值,3000,USDT,已完成,bgw,bgw,2026-06-18 12:15:26,2026-06-18 12:16:15,,在線充值
OTX2067672409580343297,2067671795613589504,ty1113,充值,200,USDT,已完成,bgw,bgw,2026-06-18 14:14:52,2026-06-18 14:15:15,,在線充值
OTX2067677640158449665,2067671795613589504,ty1113,提現,139,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-18 14:35:39,2026-06-18 14:40:02,,會員提現
OTX2067678597399285761,2067677944442281984,ty1113,充值,200,USDT,已完成,bgw,bgw,2026-06-18 14:39:27,2026-06-18 14:40:15,,在線充值
OTX2067684383703207937,2067677944442281984,ty1113,提現,126,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-18 15:02:27,2026-06-18 15:21:37,,會員提現
OTX2067809585756475393,2067806901951029248,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-18 23:19:57,2026-06-18 23:20:15,,在線充值
OTX2067814465598492673,2067806901951029248,a1760356615,提現,138,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-18 23:39:21,2026-06-18 23:51:17,,會員提現
