订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
2026062704411048370,2070729007716257792,test01,充值,150,USDT,已成功,,,2026-06-27 00:41:45,2026-06-27 00:41:45,,資金修正-充值補發
OTX2070752545084391425,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-27 02:14:14,2026-06-27 02:14:15,,在線充值
OTX2070770854002663425,2070767695007469568,a1760356615,充值,20,USDT,已完成,bgw,bgw,2026-06-27 03:26:59,2026-06-27 03:27:15,,在線充值
OTX2070778914725142529,2070767695007469568,a1760356615,提現,10,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-27 03:59:01,2026-06-27 04:13:19,,會員提現
OTX2070814837771714561,2064639738030649344,a1760356615,提現,15850,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-27 06:21:45,2026-06-27 06:39:30,,會員提現
OTX2070829389762641921,2064639738030649344,a1760356615,充值,20000,USDT,已完成,bgw,bgw,2026-06-27 07:19:35,2026-06-27 07:20:15,,在線充值
OTX2070839855496011777,2070405635589427200,a1760356615,充值,370,USDT,已完成,bgw,bgw,2026-06-27 08:01:10,2026-06-27 08:01:15,,在線充值
OTX2070898201938862081,2070896568605192192,ty1114,充值,200,USDT,已完成,bgw,bgw,2026-06-27 11:53:01,2026-06-27 11:53:15,,在線充值
OTX2070950090663501825,2070949213336350720,ty1114,充值,100,USDT,已完成,bgw,bgw,2026-06-27 15:19:12,2026-06-27 15:19:15,,在線充值
OTX2071026956833366017,2065376588613611520,a1760356615,提現,710,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-27 20:24:38,2026-06-27 21:36:29,,會員提現
OTX2071048286768054273,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-27 21:49:24,2026-06-27 21:50:15,,在線充值
OTX2071060577496449025,2070327963244974080,a1760356615,充值,13,USDT,已完成,bgw,bgw,2026-06-27 22:38:14,2026-06-27 22:38:15,,在線充值
OTX2071076201980469249,2070327963244974080,a1760356615,充值,20,USDT,已完成,bgw,bgw,2026-06-27 23:40:19,2026-06-27 23:41:15,,在線充值
