本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码
2067101814400540672,2067100171774308864,2065062780082909184,aq1122,2026-06-17 00:21:00,0.6,USDT,0,2026-06-17 00:21:00,-0.6,Mahjong Ways,PG,0.6
2067101814509592576,2067100208809922048,2065062780082909184,aq1122,2026-06-17 00:21:09,0.2,USDT,0,2026-06-17 00:21:09,-0.2,Mahjong Ways,PG,0.2
2067101814614450176,2067100221879368192,2065062780082909184,aq1122,2026-06-17 00:21:12,0.2,USDT,0,2026-06-17 00:21:12,-0.2,Mahjong Ways,PG,0.2
2067101814719307776,2067100233820557312,2065062780082909184,aq1122,2026-06-17 00:21:15,0.2,USDT,0,2026-06-17 00:21:15,-0.2,Mahjong Ways,PG,0.2
2067101814824165376,2067100247607292928,2065062780082909184,aq1122,2026-06-17 00:21:18,0.2,USDT,0.1,2026-06-17 00:21:22,-0.1,Mahjong Ways,PG,0.2
2067100557090807808,6243481944108114122065062780082909184,2065062780082909184,aq1122,2026-06-17 00:22:09,0.01,USDT,0.03,2026-06-17 00:22:09,0.02,Bombing Fishing,Jili FISH,0.01
2067100556331638784,6243482052822507722065062780082909184,2065062780082909184,aq1122,2026-06-17 00:22:11,0.01,USDT,0,2026-06-17 00:22:11,-0.01,Bombing Fishing,Jili FISH,0.01
2067100557204054016,6243482087719117002065062780082909184,2065062780082909184,aq1122,2026-06-17 00:22:12,0.02,USDT,0,2026-06-17 00:22:12,-0.02,Bombing Fishing,Jili FISH,0.02
2067100556222586880,6243482111544074442065062780082909184,2065062780082909184,aq1122,2026-06-17 00:22:14,0.02,USDT,0,2026-06-17 00:22:14,-0.02,Bombing Fishing,Jili FISH,0.02
2067100556440690688,6243482137044132042065062780082909184,2065062780082909184,aq1122,2026-06-17 00:22:15,0.03,USDT,0.11,2026-06-17 00:22:15,0.08,Bombing Fishing,Jili FISH,0.03
2067100556549742592,6243482160364462282065062780082909184,2065062780082909184,aq1122,2026-06-17 00:22:18,0.06,USDT,0,2026-06-17 00:22:18,-0.06,Bombing Fishing,Jili FISH,0.06
2067100556662988800,6243482199958692042065062780082909184,2065062780082909184,aq1122,2026-06-17 00:22:20,0.06,USDT,0.03,2026-06-17 00:22:20,-0.03,Bombing Fishing,Jili FISH,0.06
2067100556767846400,6243482243747225802065062780082909184,2065062780082909184,aq1122,2026-06-17 00:22:23,0.07,USDT,0.06,2026-06-17 00:22:23,-0.01,Bombing Fishing,Jili FISH,0.07
2067100556876898304,6243482283846738122065062780082909184,2065062780082909184,aq1122,2026-06-17 00:22:24,0.05,USDT,0.03,2026-06-17 00:22:24,-0.02,Bombing Fishing,Jili FISH,0.05
