本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码,返水
2069353121196199936,178220720001735923260004003,2065001653848305664,test01,2026-06-23 05:33:19,100,USDT,0,2026-06-23 06:02:00,-100,足球,体育,100,0.75
2069352640285691904,178220702701735923260044052,2065000455472738304,test01,2026-06-23 05:31:30,100,USDT,0,2026-06-23 06:02:00,-100,足球,体育,50,0
2069373684295774208,BET20260623105447766634004401dc59f42a2729,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373684421603328,BET20260623105447775380004401bdc5e0ed2001,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373684518072320,BET20260623105447778803004401229fd8322c50,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373684610347008,BET2026062310544778211700440107d424d06943,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373684706816000,BET202606231054477833540044018dbf81c1d660,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373684799090688,BET20260623105447786646004401af251e3fa5c5,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373684895559680,BET20260623105447788019004401e75bfd07a073,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373684987834368,BET2026062310544779135900440190569edb8c78,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373685084303360,BET20260623105447792639004401345c821e2a49,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373685180772352,BET2026062310544779394800440172d3c6afb783,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,475,2026-06-23 09:35:35,465,香港六合彩,SIX,10,0.3
2069373685277241344,BET202606231054477952750044016e021cacc099,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373685369516032,BET20260623105447796472004401d89d60d74222,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373685465985024,BET20260623105447800020004401ffa1083ff843,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373685558259712,BET20260623105447803625004401b6c77d5aca53,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373685654728704,BET20260623105447804851004401e098a9adc91e,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373685751197696,BET20260623105447806094004401c24127e2b729,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373685843472384,BET202606231054478073600044016509d668b13e,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373685939941376,BET20260623105447810821004401da71311500ad,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686032216064,BET20260623105447814299004401e262d0b2b19d,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686128685056,BET20260623105447818043004401e55e88b8df50,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686220959744,BET2026062310544781941400440111eb4e1f76c2,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686317428736,BET2026062310544782065900440113e8d2db7387,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686409703424,BET2026062310544782490000440161fb41968c75,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686506172416,BET20260623105447826637004401a8cf87322b66,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686598447104,BET2026062310544782789000440102a3c4a986ba,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686694916096,BET202606231054478292040044013f04323ee0bb,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686791385088,BET202606231054478305940044011eda7216cf56,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686887854080,BET20260623105447832013004401ef2ccddbfe50,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373686984323072,BET202606231054478334310044012fb05e6d2b87,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373687076597760,BET2026062310544783718500440169e171ea1846,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373687173066752,BET202606231054478411690044012cd6ac6f4ab9,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373687265341440,BET20260623105447845061004401b6e5c92d3003,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373687361810432,BET20260623105447846334004401798a49beb382,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373687454085120,BET2026062310544784761300440152efcb17b8ba,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373687546359808,BET2026062310544785109200440163ba20122c41,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373687642828800,BET2026062310544785241100440171db1a7f013f,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373687735103488,BET20260623105447853791004401a124745c506a,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373687831572480,BET2026062310544785735200440154b9fa2ec3f8,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373687923847168,BET202606231054478587100044010423c9ace16a,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373688020316160,BET20260623105447859977004401d003349385d2,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373688116785152,BET2026062310544786355800440188591ce79604,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373688339083264,BET20260623105447867025004401665d4d71e144,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373688443940864,BET20260623105447869247004401657a80ae99a3,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373688540409856,BET20260623105447870699004401edfb28863a2a,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373688636878848,BET20260623105447872027004401498ed0dac1f8,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373688733347840,BET20260623105447873419004401cf702932ddc4,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373688829816832,BET202606231054478769140044017e698e0302aa,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373688926285824,BET20260623105447878195004401f0fcaca400e2,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069373689022754816,BET20260623105447879488004401890d6697199b,2065416090673541120,test01,2026-06-23 06:54:47,10,USDT,0,2026-06-23 09:35:35,-10,香港六合彩,SIX,10,0.3
2069462611924987904,610571686,2065416090673541120,test01,2026-06-23 12:47:58,20,USDT,0,2026-06-23 13:09:42,-20,皇冠体育,皇冠体育,20,0
2069462737976406016,610571960,2065416090673541120,test01,2026-06-23 12:48:12,20,USDT,0,2026-06-23 13:20:27,-20,皇冠体育,皇冠体育,20,0
2069437697973137408,610493763,2065416090673541120,test01,2026-06-23 11:08:39,50,USDT,0,2026-06-23 13:43:50,-50,皇冠体育,皇冠体育,50,0
2069437823932280832,610494064,2065416090673541120,test01,2026-06-23 11:09:07,10,USDT,0,2026-06-23 13:44:25,-10,皇冠体育,皇冠体育,10,0
2069439962796634112,610500006,2065416090673541120,test01,2026-06-23 11:17:32,50,USDT,0,2026-06-23 13:44:26,-50,皇冠体育,皇冠体育,50,0
2069437823831617536,610493988,2065416090673541120,test01,2026-06-23 11:09:00,10,USDT,0,2026-06-23 14:30:45,-10,皇冠体育,皇冠体育,10,0
2069439962893103104,610500070,2065416090673541120,test01,2026-06-23 11:17:37,50,USDT,0,2026-06-23 14:30:48,-50,皇冠体育,皇冠体育,50,0
2069439836917182464,610499819,2065416090673541120,test01,2026-06-23 11:17:13,20,USDT,0,2026-06-23 15:03:32,-20,皇冠体育,皇冠体育,20,0
2069439837017845760,610499901,2065416090673541120,test01,2026-06-23 11:17:19,20,USDT,0,2026-06-23 15:03:32,-20,皇冠体育,皇冠体育,20,0
2069476201520279552,610625643,2065416090673541120,test01,2026-06-23 13:41:45,50,USDT,0,2026-06-23 15:05:40,-50,皇冠体育,皇冠体育,50,0
2069476201616748544,610625747,2065416090673541120,test01,2026-06-23 13:41:51,50,USDT,0,2026-06-23 15:05:40,-50,皇冠体育,皇冠体育,50,0
2069392265985241088,178221653501735923260094142,2065183159992512512,a1760356615,2026-06-23 08:08:54,900,USDT,1782,2026-06-23 15:10:00,882,足球,体育,882,6.615
2069498976599388160,610687512,2065416090673541120,test01,2026-06-23 15:12:05,50,USDT,0,2026-06-23 18:05:21,-50,皇冠体育,皇冠体育,50,0
2069498976695857152,610687769,2065416090673541120,test01,2026-06-23 15:12:18,50,USDT,0,2026-06-23 18:05:22,-50,皇冠体育,皇冠体育,50,0
2069499228358291456,610688795,2065416090673541120,test01,2026-06-23 15:13:07,50,USDT,0,2026-06-23 18:05:26,-50,皇冠体育,皇冠体育,50,0
2069503632339742720,610704431,2065416090673541120,test01,2026-06-23 15:30:44,50,USDT,0,2026-06-23 18:06:13,-50,皇冠体育,皇冠体育,50,0
2069503632436211712,610704610,2065416090673541120,test01,2026-06-23 15:30:58,50,USDT,0,2026-06-23 18:06:14,-50,皇冠体育,皇冠体育,50,0
2069510552886816768,610722085,2065489387315187712,aq1122,2026-06-23 15:58:25,262,USDT,0,2026-06-23 18:07:03,-262,皇冠体育,皇冠体育,262,0
2069510678762074112,610722384,2065489387315187712,aq1122,2026-06-23 15:58:50,100,USDT,0,2026-06-23 18:07:04,-100,皇冠体育,皇冠体育,100,0
2069190981042679808,461548158602612065376588613611520,2065376588613611520,a1760356615,2026-06-22 18:48:53,1,USDT,2,2026-06-23 19:07:48,1,Multihand Blackjack,PP ZH SLOTS,1,0.008
