订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2065666653389602817,2065376588613611520,a1760356615,充值,95,USDT,已完成,bgw,bgw,2026-06-13 01:24:43,2026-06-13 01:25:15,,在線充值
OTX2065685466172637185,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-13 02:39:28,2026-06-13 02:40:15,,在線充值
OTX2065699308789415937,2065697602295885824,a1760356615,充值,300,USDT,已完成,bgw,bgw,2026-06-13 03:34:28,2026-06-13 03:35:15,,在線充值
OTX2065701070329987073,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-13 03:41:28,2026-06-13 03:42:15,,在線充值
OTX2065712080696754177,2064759624312614912,test01,充值,279.5,USDT,已完成,bgw,bgw,2026-06-13 04:25:13,2026-06-13 04:25:15,,在線充值
OTX2065756038646841345,2065674214383357952,hj1111,充值,100,USDT,已完成,bgw,bgw,2026-06-13 07:19:54,2026-06-13 07:20:16,,在線充值
OTX2065761533642162177,2065489387315187712,aq1122,充值,500,USDT,已完成,bgw,bgw,2026-06-13 07:41:44,2026-06-13 07:42:15,,在線充值
OTX2065824472671830017,2064623920270077952,a1760356615,充值,110,USDT,已完成,bgw,bgw,2026-06-13 11:51:50,2026-06-13 11:52:15,,在線充值
OTX2065829799601487873,2065183159992512512,a1760356615,充值,10000,USDT,已完成,bgw,bgw,2026-06-13 12:13:00,2026-06-13 12:13:15,,在線充值
