代理帐号,代理注册日期时间,上级代理,该代理使用的币种,数据统计日期,直属会员总数,活跃会员数,新增会员数,首充会员数,充值金额,充值笔数,提现金额,提现笔数,充提差额,投注笔数,投注金额,有效打码,派彩金额,会员输赢,平台输赢,彩金费用,返水费用,净输赢,真人有效打码,电子有效打码,棋牌有效打码,体育有效打码,彩票有效打码,U獨家有效打码
a1760356615,2025-10-13 07:56:55,,USDT,2026-06-19,180,3,7,1,200,2,59,1,141,15075,19460.4,19337.4,18970.33,-490.07,490.07,12,91.7876,386.2824,423,18914.4,0,0,0,0
aq1122,2026-06-11 06:58:16,,USDT,2026-06-19,66,1,0,0,0,0,0,0,0,2,200,145.2,145.2,-54.8,54.8,0,2.349,8.611,0,0,0,145.2,0,0
dl111111,2026-06-11 08:50:30,hj1111,USDT,2026-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hj1111,2026-06-11 06:33:34,,USDT,2026-06-19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1122,2026-06-11 07:01:51,,USDT,2026-06-19,16,1,0,1,125,2,18,1,107,290,304.2,298.2,190.89,-113.31,113.31,1.25,0,20.8465,0,211.2,0,87,0,0
pd1133,2026-06-12 13:21:51,,USDT,2026-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1144,2026-06-12 13:26:21,,USDT,2026-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1155,2026-06-12 13:27:25,,USDT,2026-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1166,2026-06-12 13:29:36,,USDT,2026-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1177,2026-06-12 13:32:27,,USDT,2026-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qx1122,2026-06-11 11:48:04,,USDT,2026-06-19,5,1,0,0,5500,2,0,0,5500,1069,23398,23398,17586.4,-5811.6,5811.6,55,348.192,3083.768,0,23398,0,0,0,0
test002,2026-06-11 09:13:00,,USDT,2026-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test01,2026-06-09 09:59:45,,USDT,2026-06-19,44,4,0,0,0,0,0,0,0,28,2400,2379.4,1939.5,-460.5,460.5,0,3.67125,226.57875,0,0,0,2379.4,0,0
test02,2026-06-11 09:06:49,test01,USDT,2026-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty1111,2026-06-12 14:04:14,pd1122,USDT,2026-06-19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty1112,2026-06-12 14:04:42,pd1122,USDT,2026-06-19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty1113,2026-06-12 14:04:56,pd1122,USDT,2026-06-19,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8832,-3.8832,0,0,0,0,0,0
ty1114,2026-06-12 14:05:29,pd1122,USDT,2026-06-19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty1115,2026-06-12 14:05:43,pd1122,USDT,2026-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
