订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2070464251282038785,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-26 07:08:39,2026-06-26 07:09:15,,在線充值
OTX2070507201989820417,2064639738030649344,a1760356615,充值,10000,USDT,已完成,bgw,bgw,2026-06-26 09:59:19,2026-06-26 10:00:15,,在線充值
