流水号,会员ID,帐变类型,帐变币种,帐变金额,帐变前余额,帐变后余额,关联单号,帐变时间,操作人员,备注
2068544558886535168,2065376588613611520,遊戲返水,USDT,0.008,293.4692,293.4772,2068544558565330944,2026-06-21 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544559024947200,2065376588613611520,遊戲返水,USDT,0.008,293.4772,293.4852,2068544558733103104,2026-06-21 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544559129804800,2065376588613611520,遊戲返水,USDT,0.008,293.4852,293.4932,2068544558900875264,2026-06-21 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544559305965568,2065376588613611520,遊戲返水,USDT,0.008,293.4932,293.5012,2068544559077036032,2026-06-21 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544559465349120,2065376588613611520,遊戲返水,USDT,0.016,293.5012,293.5172,2068544559244808192,2026-06-21 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544559641509888,2065376588613611520,遊戲返水,USDT,0.008,293.5172,293.5252,2068544559412580352,2026-06-21 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544559809282048,2065376588613611520,遊戲返水,USDT,0.008,293.5252,293.5332,2068544559580352512,2026-06-21 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544559972859904,2065376588613611520,遊戲返水,USDT,0.008,293.5332,293.5412,2068544559748124672,2026-06-21 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544560140632064,2065376588613611520,遊戲返水,USDT,0.008,293.5412,293.5492,2068544559915896832,2026-06-21 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544560316792832,2065376588613611520,遊戲返水,USDT,0.008,293.5492,293.5572,2068544560083668992,2026-06-21 00:00:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544806493077504,2065376588613611520,遊戲返水,USDT,0.008,293.5572,293.5652,2068544806108958720,2026-06-21 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544806585352192,2065376588613611520,遊戲返水,USDT,0.008,293.5652,293.5732,2068544806280925184,2026-06-21 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544806690209792,2065376588613611520,遊戲返水,USDT,0.008,293.5732,293.5812,2068544806457085952,2026-06-21 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544806849593344,2065376588613611520,遊戲返水,USDT,0.008,293.5812,293.5892,2068544806629052416,2026-06-21 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544807017365504,2065376588613611520,遊戲返水,USDT,0.008,293.5892,293.5972,2068544806796824576,2026-06-21 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544807193526272,2065376588613611520,遊戲返水,USDT,0.008,293.5972,293.6052,2068544806968791040,2026-06-21 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544807365492736,2065376588613611520,遊戲返水,USDT,0.008,293.6052,293.6132,2068544807140757504,2026-06-21 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544807524876288,2065376588613611520,遊戲返水,USDT,0.008,293.6132,293.6212,2068544807304335360,2026-06-21 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544807688454144,2065376588613611520,遊戲返水,USDT,0.008,293.6212,293.6292,2068544807472107520,2026-06-21 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068544807860420608,2065376588613611520,遊戲返水,USDT,0.016,293.6292,293.6452,2068544807639879680,2026-06-21 00:01:28,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068545062249152512,2065376588613611520,遊戲返水,USDT,0.008,293.6452,293.6532,2068545061881810944,2026-06-21 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068545062333038592,2065376588613611520,遊戲返水,USDT,0.008,293.6532,293.6612,2068545062057971712,2026-06-21 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068545062454673408,2065376588613611520,遊戲返水,USDT,0.008,293.6612,293.6692,2068545062221549568,2026-06-21 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068545062609862656,2065376588613611520,遊戲返水,USDT,0.008,293.6692,293.6772,2068545062393516032,2026-06-21 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068545062777634816,2065376588613611520,遊戲返水,USDT,0.008,293.6772,293.6852,2068545062561288192,2026-06-21 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068545062945406976,2065376588613611520,遊戲返水,USDT,0.008,293.6852,293.6932,2068545062724866048,2026-06-21 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068545063113179136,2065376588613611520,遊戲返水,USDT,0.008,293.6932,293.7012,2068545062888443904,2026-06-21 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
2068545063276756992,2065376588613611520,遊戲返水,USDT,0.008,293.7012,293.7092,2068545063052021760,2026-06-21 00:02:29,,change_type=返水；biz_type=0500；方向=收入；狀態=入賬成功
