本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码
2064738492136230912,2064737043153457664,2064375069823860736,a1760356615,2026-06-10 11:50:46,2,USDT,26.7,2026-06-10 11:50:55,24.7,Mahjong Ways 2,PG,2
2064738492236894208,2064737089685029889,2064375069823860736,a1760356615,2026-06-10 11:50:57,2,USDT,0,2026-06-10 11:50:57,-2,Mahjong Ways 2,PG,2
2064738492333363200,2064737093506041344,2064375069823860736,a1760356615,2026-06-10 11:50:58,2,USDT,0,2026-06-10 11:50:58,-2,Mahjong Ways 2,PG,2
2064738492429832192,2064737097377418241,2064375069823860736,a1760356615,2026-06-10 11:50:59,2,USDT,5.8,2026-06-10 11:51:04,3.8,Mahjong Ways 2,PG,2
2064738744218095616,2064737125424769024,2064375069823860736,a1760356615,2026-06-10 11:51:06,2,USDT,1.8,2026-06-10 11:51:10,-0.2,Mahjong Ways 2,PG,2
2064738744415227904,2064737151966315522,2064375069823860736,a1760356615,2026-06-10 11:51:12,2,USDT,3,2026-06-10 11:51:17,1,Mahjong Ways 2,PG,2
2064738744507502592,2064737178780534785,2064375069823860736,a1760356615,2026-06-10 11:51:18,2,USDT,0,2026-06-10 11:51:19,-2,Mahjong Ways 2,PG,2
2064738743538618368,2064737183121651712,2064375069823860736,a1760356615,2026-06-10 11:51:19,2,USDT,1.6,2026-06-10 11:51:22,-0.4,Mahjong Ways 2,PG,2
2064738895405977600,2064737200838347264,2064375069823860736,a1760356615,2026-06-10 11:51:24,2,USDT,0,2026-06-10 11:51:24,-2,Mahjong Ways 2,PG,2
2064738743635087360,2064737204793529344,2064375069823860736,a1760356615,2026-06-10 11:51:25,2,USDT,5.6,2026-06-10 11:51:29,3.6,Mahjong Ways 2,PG,2
2064738895498252288,2064737231666539009,2064375069823860736,a1760356615,2026-06-10 11:51:31,2,USDT,0,2026-06-10 11:51:31,-2,Mahjong Ways 2,PG,2
2064738744599777280,2064737235311301120,2064375069823860736,a1760356615,2026-06-10 11:51:32,2,USDT,0,2026-06-10 11:51:32,-2,Mahjong Ways 2,PG,2
2064738894969769984,2064737239367282178,2064375069823860736,a1760356615,2026-06-10 11:51:33,2,USDT,0,2026-06-10 11:51:33,-2,Mahjong Ways 2,PG,2
2064738745090510848,2064737243867723266,2064375069823860736,a1760356615,2026-06-10 11:51:34,2,USDT,0,2026-06-10 11:51:34,-2,Mahjong Ways 2,PG,2
2064738895594721280,2064737247663555585,2064375069823860736,a1760356615,2026-06-10 11:51:35,2,USDT,0,2026-06-10 11:51:35,-2,Mahjong Ways 2,PG,2
2064738895087210496,2064737251560025600,2064375069823860736,a1760356615,2026-06-10 11:51:36,2,USDT,0,2026-06-10 11:51:36,-2,Mahjong Ways 2,PG,2
2064738745182785536,2064737255586551296,2064375069823860736,a1760356615,2026-06-10 11:51:37,2,USDT,0,2026-06-10 11:51:37,-2,Mahjong Ways 2,PG,2
2064738743731556352,2064737259265020416,2064375069823860736,a1760356615,2026-06-10 11:51:38,2,USDT,0,2026-06-10 11:51:38,-2,Mahjong Ways 2,PG,2
2064738744696246272,2064737263153126912,2064375069823860736,a1760356615,2026-06-10 11:51:39,2,USDT,0,2026-06-10 11:51:39,-2,Mahjong Ways 2,PG,2
2064738744792715264,2064737266651150336,2064375069823860736,a1760356615,2026-06-10 11:51:39,2,USDT,2,2026-06-10 11:51:42,0,Mahjong Ways 2,PG,2
2064738895691190272,2064737283881317888,2064375069823860736,a1760356615,2026-06-10 11:51:44,2,USDT,0,2026-06-10 11:51:44,-2,Mahjong Ways 2,PG,2
2064738743828025344,2064737287664625152,2064375069823860736,a1760356615,2026-06-10 11:51:44,2,USDT,0,2026-06-10 11:51:45,-2,Mahjong Ways 2,PG,2
2064738744314564608,2064737291993093632,2064375069823860736,a1760356615,2026-06-10 11:51:45,2,USDT,0,2026-06-10 11:51:46,-2,Mahjong Ways 2,PG,2
2064738743924494336,2064737295872905216,2064375069823860736,a1760356615,2026-06-10 11:51:46,2,USDT,1.2,2026-06-10 11:51:49,-0.8,Mahjong Ways 2,PG,2
2064738744889184256,2064737313849626625,2064375069823860736,a1760356615,2026-06-10 11:51:51,2,USDT,0,2026-06-10 11:51:51,-2,Mahjong Ways 2,PG,2
2064738744020963328,2064737317519631360,2064375069823860736,a1760356615,2026-06-10 11:51:52,2,USDT,0,2026-06-10 11:51:52,-2,Mahjong Ways 2,PG,2
2064738744985653248,2064737321156200448,2064375069823860736,a1760356615,2026-06-10 11:51:52,2,USDT,0.1,2026-06-10 11:51:55,-1.9,Mahjong Ways 2,PG,2
2064738745270865920,2064737338508028416,2064375069823860736,a1760356615,2026-06-10 11:51:57,2,USDT,1.2,2026-06-10 11:52:01,-0.8,Mahjong Ways 2,PG,2
2064738996211879936,2064737365229913088,2064375069823860736,a1760356615,2026-06-10 11:52:03,2,USDT,0,2026-06-10 11:52:03,-2,Mahjong Ways 2,PG,2
2064738995142332416,2064737369243875331,2064375069823860736,a1760356615,2026-06-10 11:52:04,2,USDT,0.6,2026-06-10 11:52:06,-1.4,Mahjong Ways 2,PG,2
2064738996308348928,2064737386142707200,2064375069823860736,a1760356615,2026-06-10 11:52:08,2,USDT,0.3,2026-06-10 11:52:10,-1.7,Mahjong Ways 2,PG,2
2064738995733729280,2064737403138038784,2064375069823860736,a1760356615,2026-06-10 11:52:12,2,USDT,0.1,2026-06-10 11:52:14,-1.9,Mahjong Ways 2,PG,2
2064738996782305280,2064737421139995649,2064375069823860736,a1760356615,2026-06-10 11:52:16,2,USDT,0,2026-06-10 11:52:17,-2,Mahjong Ways 2,PG,2
2064738995242995712,2064737424826697216,2064375069823860736,a1760356615,2026-06-10 11:52:17,2,USDT,0,2026-06-10 11:52:17,-2,Mahjong Ways 2,PG,2
2064738995834392576,2064737428521879552,2064375069823860736,a1760356615,2026-06-10 11:52:18,2,USDT,2.6,2026-06-10 11:52:20,0.6,Mahjong Ways 2,PG,2
2064738996874579968,2064737446502879746,2064375069823860736,a1760356615,2026-06-10 11:52:22,2,USDT,0,2026-06-10 11:52:23,-2,Mahjong Ways 2,PG,2
2064738995930861568,2064737450684632064,2064375069823860736,a1760356615,2026-06-10 11:52:23,2,USDT,0.5,2026-06-10 11:52:25,-1.5,Mahjong Ways 2,PG,2
2064738995339464704,2064737467902316033,2064375069823860736,a1760356615,2026-06-10 11:52:27,2,USDT,1.5,2026-06-10 11:52:30,-0.5,Mahjong Ways 2,PG,2
2064738995431739392,2064737485015045632,2064375069823860736,a1760356615,2026-06-10 11:52:31,2,USDT,4.9,2026-06-10 11:52:36,2.9,Mahjong Ways 2,PG,2
2064738996971048960,2064737511892165120,2064375069823860736,a1760356615,2026-06-10 11:52:38,2,USDT,0,2026-06-10 11:52:38,-2,Mahjong Ways 2,PG,2
2064738996400623616,2064737515666952192,2064375069823860736,a1760356615,2026-06-10 11:52:39,2,USDT,0.5,2026-06-10 11:52:41,-1.5,Mahjong Ways 2,PG,2
2064738996023136256,2064737533069208064,2064375069823860736,a1760356615,2026-06-10 11:52:43,2,USDT,0.8,2026-06-10 11:52:45,-1.2,Mahjong Ways 2,PG,2
2064738996119605248,2064737550320351744,2064375069823860736,a1760356615,2026-06-10 11:52:47,2,USDT,0,2026-06-10 11:52:47,-2,Mahjong Ways 2,PG,2
2064738996492898304,2064737554174965248,2064375069823860736,a1760356615,2026-06-10 11:52:48,2,USDT,0.4,2026-06-10 11:52:50,-1.6,Mahjong Ways 2,PG,2
2064738995524014080,2064737572256544257,2064375069823860736,a1760356615,2026-06-10 11:52:52,2,USDT,0,2026-06-10 11:52:53,-2,Mahjong Ways 2,PG,2
2064738997063323648,2064737576534757888,2064375069823860736,a1760356615,2026-06-10 11:52:53,2,USDT,0.8,2026-06-10 11:52:55,-1.2,Mahjong Ways 2,PG,2
2064738996589367296,2064737594125668352,2064375069823860736,a1760356615,2026-06-10 11:52:58,2,USDT,0,2026-06-10 11:52:58,-2,Mahjong Ways 2,PG,2
2064738995620483072,2064737598202514432,2064375069823860736,a1760356615,2026-06-10 11:52:58,2,USDT,0,2026-06-10 11:52:59,-2,Mahjong Ways 2,PG,2
2064739248159526912,2064737602447099904,2064375069823860736,a1760356615,2026-06-10 11:52:59,2,USDT,0,2026-06-10 11:53:00,-2,Mahjong Ways 2,PG,2
