订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2068935319955165185,2065376588613611520,a1760356615,提現,428,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-22 01:53:13,2026-06-22 02:34:56,,會員提現
OTX2068948755186532353,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-22 02:46:37,2026-06-22 02:47:15,,在線充值
OTX2068990615343845377,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-22 05:32:57,2026-06-22 05:33:15,,在線充值
OTX2068991306724528129,2064375069823860736,test01,充值,10,USDT,已完成,bgw,bgw,2026-06-22 05:35:42,2026-06-22 05:36:15,,在線充值
OTX2069033000873574401,2069029844536004608,ty1114,充值,200,USDT,已完成,bgw,bgw,2026-06-22 08:21:22,2026-06-22 08:22:15,,在線充值
OTX2069045842116952065,2069029844536004608,ty1114,提現,234,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-22 09:12:24,2026-06-22 09:20:42,,會員提現
OTX2069154452654342145,2065489387315187712,aq1122,充值,341,USDT,已完成,bgw,bgw,2026-06-22 16:23:59,2026-06-22 16:24:15,,在線充值
