订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2068575609485774849,2065495859273060352,aq1122,提現,491,USDT,已失敗,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-21 02:03:52,2026-06-21 03:34:48,,會員提現
OTX2068750042386259969,2066800060553256960,ty1114,充值,100,USDT,已完成,bgw,bgw,2026-06-21 13:37:00,2026-06-21 13:37:15,,在線充值
OTX2068756445006909441,2066800060553256960,ty1114,提現,131,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-21 14:02:26,2026-06-21 14:12:25,,會員提現
