订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2065023143112196097,2064375069823860736,a1760356615,提現,10,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-11 06:47:38,2026-06-11 06:48:46,,會員提現
OTX2065086013208379393,2065062780082909184,aq1122,充值,100,USDT,已完成,bgw,bgw,2026-06-11 10:57:27,2026-06-11 10:58:16,,在線充值
OTX2065118371940777985,2065117050807316480,qx1122,充值,5000,USDT,已完成,bgw,bgw,2026-06-11 13:06:02,2026-06-11 13:06:15,,在線充值
OTX2065132150514630657,2065130975837876224,aq1122,充值,500,USDT,已完成,bgw,bgw,2026-06-11 14:00:47,2026-06-11 14:01:15,,在線充值
OTX2065132632511463425,2065130282460704768,aq1122,充值,2000,USDT,已完成,bgw,bgw,2026-06-11 14:02:42,2026-06-11 14:03:15,,在線充值
OTX2065137288692219905,2065063441742753792,aq1122,充值,35,USDT,已完成,bgw,bgw,2026-06-11 14:21:12,2026-06-11 14:21:15,,在線充值
OTX2065138106254344193,2065063441742753792,aq1122,充值,50,USDT,已完成,bgw,bgw,2026-06-11 14:24:27,2026-06-11 14:25:15,,在線充值
OTX2065139574613065729,2065062780082909184,aq1122,充值,100,USDT,已完成,bgw,bgw,2026-06-11 14:30:17,2026-06-11 14:31:15,,在線充值
OTX2065151402978164737,2065130970221703168,aq1122,充值,100,USDT,已完成,bgw,bgw,2026-06-11 15:17:17,2026-06-11 15:18:15,,在線充值
OTX2065156960548405249,2065063441742753792,aq1122,充值,30,USDT,已完成,bgw,bgw,2026-06-11 15:39:22,2026-06-11 15:40:15,,在線充值
OTX2065161652384940033,2065130970221703168,aq1122,提現,200,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-11 15:58:01,2026-06-11 16:09:35,,會員提現
OTX2065196810328719361,2065133146042068992,aq1122,充值,200,USDT,已完成,bgw,bgw,2026-06-11 18:17:43,2026-06-11 18:18:15,,在線充值
OTX2065197061240373249,2065063441742753792,aq1122,充值,35,USDT,已完成,bgw,bgw,2026-06-11 18:18:43,2026-06-11 18:19:15,,在線充值
