订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2066397380632756225,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-15 01:48:22,2026-06-15 01:49:15,,在線充值
OTX2066479281213128705,2066130425810018304,ty1113,充值,50,USDT,已完成,bgw,bgw,2026-06-15 07:13:48,2026-06-15 07:14:15,,在線充值
OTX2066521083609780225,2065449725409685504,aq1122,充值,200,USDT,已完成,bgw,bgw,2026-06-15 09:59:55,2026-06-15 10:00:15,,在線充值
OTX2066541238532292609,2066509831266168832,ty1111,充值,100,USDT,已完成,bgw,bgw,2026-06-15 11:20:00,2026-06-15 11:20:15,,在線充值
OTX2066547647810486273,2066509831266168832,ty1111,提現,161,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-15 11:45:28,2026-06-15 11:56:55,,會員提現
OTX2066550382337363969,2065449725409685504,aq1122,充值,300,USDT,已完成,bgw,bgw,2026-06-15 11:56:20,2026-06-15 11:57:16,,在線充值
OTX2066550948362883073,2066541035042435072,ty1111,充值,50,USDT,已完成,bgw,bgw,2026-06-15 11:58:35,2026-06-15 11:59:15,,在線充值
OTX2066559966686855169,2066557317020184576,ty1111,充值,200,USDT,已完成,bgw,bgw,2026-06-15 12:34:25,2026-06-15 12:35:15,,在線充值
OTX2066563416384454657,2066557317020184576,ty1111,提現,107,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-15 12:48:08,2026-06-15 12:55:31,,會員提現
OTX2066565313854029825,2066564230638268416,ty1111,充值,80,USDT,已完成,bgw,bgw,2026-06-15 12:55:40,2026-06-15 12:56:15,,在線充值
OTX2066569173830111233,2066564230638268416,ty1111,提現,28,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-15 13:11:00,2026-06-15 13:15:55,,會員提現
OTX2066571334626426881,2066509831266168832,ty1111,充值,200,USDT,已完成,bgw,bgw,2026-06-15 13:19:35,2026-06-15 13:20:15,,在線充值
OTX2066573866283208705,2066509831266168832,ty1111,提現,104,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-15 13:29:39,2026-06-15 13:37:15,,會員提現
OTX2066575424781664257,2065495859273060352,aq1122,充值,210,USDT,已完成,bgw,bgw,2026-06-15 13:35:51,2026-06-15 13:36:15,,在線充值
OTX2066582504007700481,2065130282460704768,aq1122,提現,10,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-15 14:03:58,2026-06-15 14:09:21,,會員提現
OTX2066584149445742593,2066541035042435072,ty1111,充值,150,USDT,已完成,bgw,bgw,2026-06-15 14:10:31,2026-06-15 14:11:15,,在線充值
OTX2066592593263312897,2066541035042435072,ty1111,提現,73,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-15 14:44:04,2026-06-15 15:05:35,,會員提現
OTX2066598053496393729,2065117050807316480,qx1122,充值,5000,USDT,已完成,bgw,bgw,2026-06-15 15:05:46,2026-06-15 15:06:15,,在線充值
OTX2066632225694793729,2065449725409685504,aq1122,提現,600,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-15 17:21:33,2026-06-15 17:34:31,,會員提現
OTX2066642013585575937,2065117050807316480,qx1122,充值,3000,USDT,已完成,bgw,bgw,2026-06-15 18:00:27,2026-06-15 18:01:15,,在線充值
