代理帐号,代理注册日期时间,上级代理,该代理使用的币种,数据统计日期,直属会员总数,活跃会员数,新增会员数,首充会员数,充值金额,充值笔数,提现金额,提现笔数,充提差额,投注笔数,投注金额,有效打码,派彩金额,会员输赢,平台输赢,彩金费用,返水费用,净输赢,真人有效打码,电子有效打码,棋牌有效打码,体育有效打码,彩票有效打码,U獨家有效打码
a1760356615,2025-10-13 07:56:55,,USDT,2026-06-15,134,3,10,0,100,1,0,0,100,12333,14035.1,14035.1,13914.5,-120.6,120.6,1,123.832,-4.232,0,13935.1,0,100,0,0
aq1122,2026-06-11 06:58:16,,USDT,2026-06-15,64,6,1,2,710,3,610,2,100,55,1611.93,1505.73,1784.49,172.56,-172.56,7.1,2.56556,-44.17756,0,1.93,0,1503.8,0,0
dl111111,2026-06-11 08:50:30,hj1111,USDT,2026-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hj1111,2026-06-11 06:33:34,,USDT,2026-06-15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1122,2026-06-11 07:01:51,,USDT,2026-06-15,15,1,3,0,0,0,0,0,0,1,50,50,0,-50,50,0,0.615,6.885,0,0,0,50,0,0
pd1133,2026-06-12 13:21:51,,USDT,2026-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1144,2026-06-12 13:26:21,,USDT,2026-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1155,2026-06-12 13:27:25,,USDT,2026-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1166,2026-06-12 13:29:36,,USDT,2026-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1177,2026-06-12 13:32:27,,USDT,2026-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qx1122,2026-06-11 11:48:04,,USDT,2026-06-15,5,1,1,0,8000,2,0,0,8000,213,12409,12409,4230,-8179,8179,80,151,4676.4,0,8409,0,4000,0,0
test002,2026-06-11 09:13:00,,USDT,2026-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test01,2026-06-09 09:59:45,,USDT,2026-06-15,35,1,3,0,0,0,0,0,0,16,1700,1700,2929,1229,-1229,0,2.5245,-617.0245,0,0,0,1700,0,0
test02,2026-06-11 09:06:49,test01,USDT,2026-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty1111,2026-06-12 14:04:14,pd1122,USDT,2026-06-15,6,4,5,4,780,6,473,5,307,106,1874.4,1544.5,1378.1,-496.3,496.3,7.8,0,228.145,1538.1,6.4,0,0,0,0
ty1112,2026-06-12 14:04:42,pd1122,USDT,2026-06-15,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty1113,2026-06-12 14:04:56,pd1122,USDT,2026-06-15,1,1,0,1,50,1,0,0,50,163,206.4,206.4,156.56,-49.84,49.84,0.5,0,6.976,0,206.4,0,0,0,0
ty1114,2026-06-12 14:05:29,pd1122,USDT,2026-06-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty1115,2026-06-12 14:05:43,pd1122,USDT,2026-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
