代理帐号,代理注册日期时间,上级代理,该代理使用的币种,数据统计日期,直属会员总数,活跃会员数,新增会员数,首充会员数,充值金额,充值笔数,提现金额,提现笔数,充提差额,投注笔数,投注金额,有效打码,派彩金额,会员输赢,平台输赢,彩金费用,返水费用,净输赢,真人有效打码,电子有效打码,棋牌有效打码,体育有效打码,彩票有效打码,U獨家有效打码
a1760356615,2025-10-13 07:56:55,,USDT,2026-06-16,149,2,15,1,300,2,518,1,-218,1863,881.2,881.2,1728.77,847.57,-847.57,3,32.66,-883.23,70,541.2,0,270,0,0
aq1122,2026-06-11 06:58:16,,USDT,2026-06-16,64,3,0,0,50,1,0,0,50,1079,1975.5,1615.4,3422.44,1446.94,-1446.94,0.5,9.21419,-299.10219,0,372.2,663.3,579.9,0,0
dl111111,2026-06-11 08:50:30,hj1111,USDT,2026-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hj1111,2026-06-11 06:33:34,,USDT,2026-06-16,20,0,1,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1122,2026-06-11 07:01:51,,USDT,2026-06-16,16,1,1,0,0,0,0,0,0,7,630,630,2500,1870,-1870,0,0,-280.5,0,0,0,630,0,0
pd1133,2026-06-12 13:21:51,,USDT,2026-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1144,2026-06-12 13:26:21,,USDT,2026-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1155,2026-06-12 13:27:25,,USDT,2026-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1166,2026-06-12 13:29:36,,USDT,2026-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pd1177,2026-06-12 13:32:27,,USDT,2026-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qx1122,2026-06-11 11:48:04,,USDT,2026-06-16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.712,-81.712,0,0,0,0,0,0
test002,2026-06-11 09:13:00,,USDT,2026-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test01,2026-06-09 09:59:45,,USDT,2026-06-16,43,1,8,0,0,0,0,0,0,16,2300,1629.1,1179.1,-1120.9,1120.9,0,2.625,582.825,0,0,0,1629.1,0,0
test02,2026-06-11 09:06:49,test01,USDT,2026-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty1111,2026-06-12 14:04:14,pd1122,USDT,2026-06-16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0912,-11.0912,0,0,0,0,0,0
ty1112,2026-06-12 14:04:42,pd1122,USDT,2026-06-16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ty1113,2026-06-12 14:04:56,pd1122,USDT,2026-06-16,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6512,-1.6512,0,0,0,0,0,0
ty1114,2026-06-12 14:05:29,pd1122,USDT,2026-06-16,6,2,5,2,300,2,267,2,33,24,615,567.5,582.5,-32.5,32.5,3,3.6,-1.725,567.5,0,0,0,0,0
ty1115,2026-06-12 14:05:43,pd1122,USDT,2026-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
