订单号,会员ID,上层代理,类型,金额,币种,状态,支付方式,支付渠道商,申请时间,完成时间,审核人员,备注
OTX2067827309450727425,2067826679865626624,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-19 00:30:23,2026-06-19 00:31:15,,在線充值
OTX2067830512053489665,2067826679865626624,a1760356615,提現,59,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-19 00:43:07,2026-06-19 01:01:53,,會員提現
OTX2067990843708444673,2065427945114628096,pd1122,充值,29,USDT,已完成,bgw,bgw,2026-06-19 11:20:13,2026-06-19 11:20:15,,在線充值
OTX2068019849479163905,2065117050807316480,qx1122,充值,3000,USDT,已完成,bgw,bgw,2026-06-19 13:15:28,2026-06-19 13:16:15,,在線充值
OTX2068030230268317697,2065117050807316480,qx1122,充值,2500,USDT,已完成,bgw,bgw,2026-06-19 13:56:43,2026-06-19 13:57:15,,在線充值
OTX2068104894467776513,2065427945114628096,pd1122,充值,96,USDT,已完成,bgw,bgw,2026-06-19 18:53:25,2026-06-19 18:54:15,,在線充值
OTX2068109361502199809,2065376588613611520,a1760356615,充值,100,USDT,已完成,bgw,bgw,2026-06-19 19:11:10,2026-06-19 19:11:15,,在線充值
OTX2068136035266080769,2065427945114628096,pd1122,提現,18,USDT,已完成,Aurora_USDT_Withdraw_TRC20,bgw,2026-06-19 20:57:09,2026-06-19 21:13:55,,會員提現
