活动名称,活动 ID,活动彩金币种,触发彩金总次数,触发彩金总金额,到帐彩金总金额,触发会员总人数,领取彩金会员总人数,活动领取率
充值活动,2064338446452465664,USDT,34,525.345,525.345,21,21,100%
负盈利,2064364752562868224,USDT,3,1004,0,2,0,0%
