本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码
2066791167445024768,17809814548483090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:51:59,1.3,USDT,3.105,2026-06-16 03:52:37,1.805,TeenPatti,Jili POKER,1.3
2066791268125097984,17809814552319090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:52:45,0.4,USDT,1.16,2026-06-16 03:53:23,0.76,TeenPatti,Jili POKER,0.4
2066791419195539456,17809814556012090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:53:28,0.1,USDT,0,2026-06-16 03:53:37,-0.1,TeenPatti,Jili POKER,0.1
2066791519925944320,17809814556879090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:53:38,0.4,USDT,0,2026-06-16 03:54:28,-0.4,TeenPatti,Jili POKER,0.4
2066791670996385792,17809814561503090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:54:29,0.5,USDT,0,2026-06-16 03:54:55,-0.5,TeenPatti,Jili POKER,0.5
2066791922432327680,17809814563845090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:54:55,0.3,USDT,0,2026-06-16 03:55:34,-0.3,TeenPatti,Jili POKER,0.3
2066792023011737600,17809814567397090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:55:35,1.1,USDT,1.765,2026-06-16 03:56:10,0.665,TeenPatti,Jili POKER,1.1
2066792174191230976,17809814570926090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:56:15,0.3,USDT,0,2026-06-16 03:56:40,-0.3,TeenPatti,Jili POKER,0.3
2066792274753863680,17809814573135090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:56:40,0.5,USDT,0,2026-06-16 03:57:25,-0.5,TeenPatti,Jili POKER,0.5
2066792526407909376,17809814577676090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:57:33,0.3,USDT,0,2026-06-16 03:58:08,-0.3,TeenPatti,Jili POKER,0.3
2066792677495128064,17809814580648090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:58:10,0.3,USDT,0,2026-06-16 03:58:34,-0.3,TeenPatti,Jili POKER,0.3
2066792929086259200,17809814582673090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:58:35,4.3,USDT,0,2026-06-16 03:59:43,-4.3,TeenPatti,Jili POKER,4.3
2066793029892161536,17809814589383090722065063441742753792,2065063441742753792,aq1122,2026-06-16 03:59:52,0.7,USDT,0,2026-06-16 04:00:18,-0.7,TeenPatti,Jili POKER,0.7
2066793281466515456,17809814592511090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:00:27,2.7,USDT,5.265,2026-06-16 04:01:13,2.565,TeenPatti,Jili POKER,2.7
2066793684182614016,17809814597323090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:01:22,5.9,USDT,0,2026-06-16 04:02:31,-5.9,TeenPatti,Jili POKER,5.9
2066793784632000512,17809814603969090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:02:39,2.7,USDT,0,2026-06-16 04:03:26,-2.7,TeenPatti,Jili POKER,2.7
2066794036361543680,17809814608641090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:03:35,3.3,USDT,0,2026-06-16 04:04:23,-3.3,TeenPatti,Jili POKER,3.3
2066794288099475456,17809814613408090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:04:31,1.3,USDT,0,2026-06-16 04:05:13,-1.3,TeenPatti,Jili POKER,1.3
2066794539740938240,17809814616974090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:05:13,0.7,USDT,0,2026-06-16 04:06:07,-0.7,TeenPatti,Jili POKER,0.7
2066794539845795840,17809814621540090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:06:07,0.1,USDT,0,2026-06-16 04:06:16,-0.1,TeenPatti,Jili POKER,0.1
2066794791462092800,17809814622282090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:06:16,3.7,USDT,5.885,2026-06-16 04:07:01,2.185,TeenPatti,Jili POKER,3.7
2066794942457036800,17809814626886090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:07:09,4.3,USDT,0,2026-06-16 04:07:56,-4.3,TeenPatti,Jili POKER,4.3
2066795193976864768,17809814632447090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:08:12,1.25,USDT,2.4375,2026-06-16 04:08:50,1.1875,TeenPatti,Jili POKER,1.25
2066795445735768064,17809814636300090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:08:55,1.35,USDT,2.3475,2026-06-16 04:09:37,0.9975,TeenPatti,Jili POKER,1.35
2066795697364647936,17809814640623090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:09:42,3.45,USDT,6.87,2026-06-16 04:10:46,3.42,TeenPatti,Jili POKER,3.45
2066795797960835072,17809814647330090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:10:56,0.55,USDT,0,2026-06-16 04:11:25,-0.55,TeenPatti,Jili POKER,0.55
2066796049782652928,17809814650879090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:11:36,0.55,USDT,1.31,2026-06-16 04:12:14,0.76,TeenPatti,Jili POKER,0.55
2066796301407338496,17809814654986090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:12:21,0.25,USDT,0,2026-06-16 04:12:44,-0.25,TeenPatti,Jili POKER,0.25
2066796301512196096,17809814657112090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:12:44,0.15,USDT,0,2026-06-16 04:13:06,-0.15,TeenPatti,Jili POKER,0.15
2066796704052133888,17809814659135090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:13:07,5.45,USDT,11.53,2026-06-16 04:13:59,6.08,TeenPatti,Jili POKER,5.45
2066796704152797184,17809814664588090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:14:09,0.65,USDT,1.315,2026-06-16 04:14:43,0.665,TeenPatti,Jili POKER,0.65
2066796804551852032,17809814668104090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:14:48,4.15,USDT,0,2026-06-16 04:15:28,-4.15,TeenPatti,Jili POKER,4.15
2066797308002549760,17809814672493090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:15:37,4.15,USDT,11.1325,2026-06-16 04:16:30,6.9825,TeenPatti,Jili POKER,4.15
2066797308107407360,17809814678458090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:16:41,0.55,USDT,0,2026-06-16 04:17:28,-0.55,TeenPatti,Jili POKER,0.55
2066797811230949376,17809814683907090722065063441742753792,2065063441742753792,aq1122,2026-06-16 04:17:39,0.55,USDT,0,2026-06-16 04:18:22,-0.55,TeenPatti,Jili POKER,0.55
