流水号,会员ID,账变类型,账变币种,账变金额,账变前余额,账变后余额,关联单号,账变时间,操作人员,备注
"WTX2070509742734012417","2064639738030649344","会员游戏","USDT","-1000","13900","12900","2070510021920481280","2026-06-26 10:09:25（美东时间）","--","--"
"WTX2070509550597140481","2064639738030649344","会员游戏","USDT","-1000","14900","13900","2070509770249658368","2026-06-26 10:08:39（美东时间）","--","--"
"WTX2070509474290167809","2064639738030649344","会员游戏","USDT","2000","12900","14900","2070509518599806976","2026-06-26 10:08:21（美东时间）","--","--"
"WTX2070509275698262017","2064639738030649344","会员游戏","USDT","-1000","13900","12900","2070509518599806976","2026-06-26 10:07:34（美东时间）","--","--"
"WTX2070508979244855297","2064639738030649344","会员游戏","USDT","1950","11950","13900","2070509015300104192","2026-06-26 10:06:23（美东时间）","--","--"
"WTX2070508896751284225","2064639738030649344","会员游戏","USDT","-1000","12950","11950","2070509015300104192","2026-06-26 10:06:03（美东时间）","--","--"
"WTX2070508713825103873","2064639738030649344","会员游戏","USDT","2000","10950","12950","2070508763570561024","2026-06-26 10:05:20（美东时间）","--","--"
"WTX2070508514188816385","2064639738030649344","会员游戏","USDT","-1000","11950","10950","2070508763570561024","2026-06-26 10:04:32（美东时间）","--","--"
"WTX2070508457146281985","2064639738030649344","会员游戏","USDT","2000","9950","11950","2070508511941681152","2026-06-26 10:04:19（美东时间）","--","--"
"WTX2070508253806424065","2064639738030649344","会员游戏","USDT","-1000","10950","9950","2070508511941681152","2026-06-26 10:03:30（美东时间）","--","--"
"WTX2070508052429500417","2064639738030649344","会员游戏","USDT","1950","9000","10950","2070508159737585664","2026-06-26 10:02:42（美东时间）","--","--"
"WTX2070507870849691649","2064639738030649344","会员游戏","USDT","-1000","10000","9000","2070508159737585664","2026-06-26 10:01:59（美东时间）","--","--"
"WTX2070507435390021633","2064639738030649344","会员充值","USDT","10000","0","10000","OTX2070507201989820417","2026-06-26 10:00:15（美东时间）","system","系统自动派发"
